FIXTURE,HOME TEAM,AWAY TEAM,LEAGUE
Sunderland V Man Utd ,Sunderland,Man Utd,EPL
Tottenham V Watford ,Tottenham,Watford,EPL
West Brom V Southampton ,West Brom,Southampton,EPL
West Ham V Swansea ,West Ham,Swansea,EPL
Crystal Palace V Leicester ,Crystal Palace,Leicester,EPL
Everton V Burnley ,Everton,Burnley,EPL
Man Utd V Chelsea ,Man Utd,Chelsea,EPL
Middlesbrough V Arsenal ,Middlesbrough,Arsenal,EPL
Southampton V Man City ,Southampton,Man City,EPL
Stoke V Hull ,Stoke,Hull,EPL
Sunderland V West Ham ,Sunderland,West Ham,EPL
Tottenham V Bournemouth ,Tottenham,Bournemouth,EPL
Watford V Swansea ,Watford,Swansea,EPL
West Brom V Liverpool ,West Brom,Liverpool,EPL
Arsenal V Sunderland ,Arsenal,Sunderland,EPL
Bournemouth V Middlesbrough ,Bournemouth,Middlesbrough,EPL
Burnley V Man Utd ,Burnley,Man Utd,EPL
Chelsea V Southampton ,Chelsea,Southampton,EPL
Hull V Watford ,Hull,Watford,EPL
Leicester V Tottenham ,Leicester,Tottenham,EPL
Liverpool V Crystal Palace ,Liverpool,Crystal Palace,EPL
Man City V West Brom ,Man City,West Brom,EPL
Swansea V Stoke ,Swansea,Stoke,EPL
West Ham V Everton ,West Ham,Everton,EPL
Crystal Palace V Burnley ,Crystal Palace,Burnley,EPL
Everton V Chelsea ,Everton,Chelsea,EPL
Man Utd V Swansea ,Man Utd,Swansea,EPL
Middlesbrough V Man City ,Middlesbrough,Man City,EPL
Southampton V Hull ,Southampton,Hull,EPL
Stoke V West Ham ,Stoke,West Ham,EPL
Sunderland V Bournemouth ,Sunderland,Bournemouth,EPL
Tottenham V Arsenal ,Tottenham,Arsenal,EPL
Watford V Liverpool ,Watford,Liverpool,EPL
West Brom V Leicester ,West Brom,Leicester,EPL
Arsenal V Man Utd ,Arsenal,Man Utd,EPL
Bournemouth V Stoke ,Bournemouth,Stoke,EPL
Burnley V West Brom ,Burnley,West Brom,EPL
Chelsea V Middlesbrough ,Chelsea,Middlesbrough,EPL
Hull V Sunderland ,Hull,Sunderland,EPL
Leicester V Watford ,Leicester,Watford,EPL
Liverpool V Southampton ,Liverpool,Southampton,EPL
Man City V Crystal Palace ,Man City,Crystal Palace,EPL
Swansea V Everton ,Swansea,Everton,EPL
West Ham V Tottenham ,West Ham,Tottenham,EPL
Bournemouth V Burnley ,Bournemouth,Burnley,EPL
Crystal Palace V Hull ,Crystal Palace,Hull,EPL
Everton V Watford ,Everton,Watford,EPL
Man City V Leicester ,Man City,Leicester,EPL
Middlesbrough V Southampton ,Middlesbrough,Southampton,EPL
Stoke V Arsenal ,Stoke,Arsenal,EPL
Sunderland V Swansea ,Sunderland,Swansea,EPL
Tottenham V Man Utd ,Tottenham,Man Utd,EPL
West Brom V Chelsea ,West Brom,Chelsea,EPL
West Ham V Liverpool ,West Ham,Liverpool,EPL
Arsenal V Everton ,Arsenal,Everton,EPL
Burnley V West Ham ,Burnley,West Ham,EPL
Chelsea V Sunderland ,Chelsea,Sunderland,EPL
Hull V Tottenham ,Hull,Tottenham,EPL
Leicester V Bournemouth ,Leicester,Bournemouth,EPL
Liverpool V Middlesbrough ,Liverpool,Middlesbrough,EPL
Man Utd V Crystal Palace ,Man Utd,Crystal Palace,EPL
Southampton V Stoke ,Southampton,Stoke,EPL
Swansea V West Brom ,Swansea,West Brom,EPL
Watford V Man City ,Watford,Man City,EPL
